header,user,body,title
bipolar-disorder,Mymindandme000,"That are depressed  

 If somebody can just direct me in the right direction, if there is forum on here for help with     and substance abuse  or is it Ok to post right here?   -Shay",Need A little help!
bipolar-disorder,Kiki0210,"I have    , and I'm so tired of small disappointments manifesting into devastations. I wish I could just remain within a typical person's spectrum of emotions.  Instead, I feel worthless and like life is meaningless.  I have no desire to wake up tomorrow or to even move out of my bed.",Depressed and no desire to live
bipolar-disorder,emmi331,"Until then, and perhaps they will see what I do, right now she may be dealing with untreated    .

A friend who is   told me the best thing to do is love her - from a distance, but keep being there for when she crashes.",I Need Help with Bipolar Friend
bipolar-disorder,AinslW,A part of it too is I’ve been in denial about the possibility of having     and that having been a risk factor for having developed PPP but when she reviewed my personal history and family history with me it again became apparent that I probably have BD1 with a history of BD2.,Research Interview at MGHP3
bipolar-disorder,daughter-Advocate,It's supposed to be only prescribed to calm schizophrenia and    !!)[/i],Is late night snacking a symptom of PD or something else? Is it a concern? + Need stability for insomnia
bipolar-disorder,Polarbear44,currently having a     episode,lamotragine has made me unwell 
bipolar-disorder,Zan999,"Hi Everyone!  I've been a forum member for awhile but haven't introduced myself because I didn't feel like I had the energy to write or do much of anything.  Today I decided to take the plunge.... 

After suffering terribly with bipolar II & anxiety for 40 years, I feel like I'm ready to ""go home.""","Does anyone else with depression, bipolar disorder or anxiety feel this way?"
bipolar-disorder,reinventingmyself36,My psychiatric nurse practitioner keeps recommending I take seroquel for sleep and to stabilize my mood since I have    . I argue with him over the fact it stil doesn’t help me sleep long enough for at least 6-7 hours and causes me to feel sleepy during day.,Anxiety attacks
bipolar-disorder,Shorty0207,"I've been dealing with my PTSD, OCD, anxiety, and     for two years now. Lately I have been super frustrated and feel completely alone.",New to the group. 
bipolar-disorder,Hidden,"I was recently diagnosed with    . 

I am looking for free, high quality support groups for    . 

I prefer online, but for in person, I am in Miami-Dade County.


I have tried DBSA's local chapter and it was not a good fit for me.",Bipolar Support
bipolar-disorder,Hidden,"I was recently diagnosed with    . 

I am looking for free, high quality support groups for    . 

I prefer online, but for in person I am in Miami-Dade County.


I have tried DBSA's local chapter and it was not a good fit for me.",Bipolar Support
bipolar-disorder,Seaux,arre opiates contradicted for RLS patients who also have    ?,opiate use for RLS with bipolar disorder
bipolar-disorder,Naynay777,,Hello
bipolar-disorder,reinventingmyself36,"I am in desperate need to decrease anxiety and get 7-8 hours of sleep at night which I’m not since I have high anxiety paired with borderline   and   2.

I can’t find another psychiatrist in the mean time so I’m stuck for now with this nurse practitioner. What to do?",desperate for safe mood stabilizers
bipolar-disorder,southernbelle87,I’m new here so please be kind. I was diagnosed with Bipolar 1 about two months ago and I’m starting to think Lamotrigine is not enough. Has anyone ever tried electro-convulsive therapy?  During a stint in a psych ward I saw this treatment help others but I’m honestly afraid of it.,ECT for Bipolar Disorder 
bipolar-disorder,KingKittycat,I am currently experiencing the urge to shop compulsively due to my bipolar. I am also having trouble sleeping at night. I am at a point in life where a have a hole in my heart. I long for a friend who is nearby and I kind to me. I am experiencing a mix of emotions. Any advice?,Bipolar Disorder 
bipolar-disorder,hygienehollie,"I’m curious if anyone’s child has been diagnosed with pediatric    ?

My son has been diagnosed with ADHD, anxiety and Disruptive mood dysregulation disorder. The more time goes on I question whether or not he has been misdiagnosed.",pediatric bipolar
bipolar-disorder,KingKittycat,I am yearning someone who can help me with my    . I am also have a few suicidal thoughts. I feel so frustrated with myself. Please help.,Emptiness 
bipolar-disorder,Silverunicornspirit,"I've suffered with Borderline personality   (BPD) |     | obstructive pulmonary disease (COPD | Osteoarthritis, in my hands, hip and feet. Dyslexic | Hearing aids | Glaucoma.

The company I work for has suspended me for gross misconduct.",No one to talk to openly
bipolar-disorder,Hidden,"I was diagnosed with     2 in 2015.  I have been on Lamotrigine since then and it helped/helps me immensely.  I am finding that antidepressants only work for a while and maybe even cause an increase in anxiety/nervousness, aggression and impulse control issues.",Medication experiences
obsessive-compulsive-disorder-ocd,ADAATeamLise,"Researchers at Baylor College of Medicine, in collaboration with the University of North Carolina, are conducting an international study of  -    ( ) in Latin Americans, Hispanics and Brazilians.",Announcing a study from an ADAA professional partner
obsessive-compulsive-disorder-ocd,ADAATeamRachel,"Are you suffering from harm OCD?

Harm inducing types of thoughts, images and urges are typically referred to as Harm OCD and they can cause significant distress and anxiety in sufferers. Read ADAA member Marion Plessner Rodrigue, LMHC's blog explaining the difference between #harmocd and being dangerous",ADAA Blog: Harm OCD vs. Being Dangerous
obsessive-compulsive-disorder-ocd,Missjab,hi everyone I have been recently diagnosed with OCD. I had a feeling about it before I was diagnosed cause it felt different than my general anxiety but way more intense. Medication wasn't helping. I have intrusive thoughts and fears that keep looping over and over literally feels like i am going insane,Recently diagnosed with OCD
obsessive-compulsive-disorder-ocd,ADAATeamRachel,"""In 2006, I was diagnosed with an immune disorder and had a bout of meningitis. After I got sick and started to recover I started getting panic attacks and anxiety. It got so bad I ended up in the mental health section of the VA hospital,"" Dave explains. ""As far as therapy is concerned I have gone through",ADAA Story of Triumph: My Obsessive Life
obsessive-compulsive-disorder-ocd,STEM_Dad,"( ), Conduct Disorder, Oppositional Defiant Disorder (ODD), Disruptive Mood Dysregulation Disorder (DMDD), Rejection Sensitive Dysphoria (RSD), or even Bipolar Disorder.

~~~~~

In my opinion:

Earlier diagnosis of ADHD &/or ASD might better explain or help to improve the other conditions",Thought of the day: Neurodiversity certainly isn't simple 
obsessive-compulsive-disorder-ocd,Missjab,"hi everyone, it’s been hard today struggling with ocd thoughts and it always gets worse around my period. Like I know these are just thoughts and not actions but it creates so much anxiety that I am literally bothered. Also I never had this problem before in my live, I had a sudden onset of ocd a few",The struggle of ocd 
obsessive-compulsive-disorder-ocd,BjAli,"Hi, I’m BJ and I suffer fro extreme anxiety and depression. I’m on 40mg fluoxetine and I’ve also been prescribed prolanalol and premethazine for sleep, because I find it difficult at night.  I’m on week 6 now of the fluoxetine but my symptoms don’t seem to have improved. I have obsessive intrusive thoughts",Anxiety and depression 
obsessive-compulsive-disorder-ocd,Bisana,"Hello I have had general anxeity disorder, social anxiety disorder and obsessive disorder I have been passed through many medication since 2012 and finally l am taking 0.5/1mg of clonazepam; 2 mg of respridone and 40mg of fluoxitine  but my psychiatry strongly refuse  clonazepam  but I could  not stop",Stop clonazepam
obsessive-compulsive-disorder-ocd,Darkhouse,"I'm seriously ruminating about ruminating, that's how bad it's gotten. I have an MRI tomorrow, and I'm obsessing about it, but that's just an example of the obsessive thoughts that constantly run through my mind. I want to stop. I've tried years of psychotherapy...it helps, a little, but here I am, still",How to stop ruminating thoughts 
obsessive-compulsive-disorder-ocd,Bobfacebetty,"can anyone recommend a good podcast or YouTube video with help for intrusive thoughts ,

I’m suffering with what I think is called pure OCD 

Where I get intrusive thoughts that cause panic attacks but I don’t have compulsions to do something to alleviate them 

Any help would be greatly appreciated",Intrusive thoughts help 
obsessive-compulsive-disorder-ocd,Trish23,I have periods of anxiety that take over my brain for months at a time. All day I monitor every thought to gauge my anxiety levels.  It’s exhausting. What do others do to break that cycle?,obsessive thoughts 
obsessive-compulsive-disorder-ocd,sumeetthakur1981,"I have been dealing with anxiety for quite some time by nowBut recently I have started getting compulsive thoughts about irrelevant things,I watched a short video which now I can't remember what was about and I can't search for it and that is making me annoyed and disturbed,even if I do find it I fear",Obsessive thoughts about little things
obsessive-compulsive-disorder-ocd,sh0526,"I apologize if this may not be the right place to mention OCD, but I didn’t see a group for OCD. I struggle really hard with OCD, and for those that can relate, it’s not fun. You feel like you are constantly battling something invisible that if you don’t do things a certain way, is going to appear",Anyone else dealing with OCD?
obsessive-compulsive-disorder-ocd,catarinass99,Hi. I have OCD and panic attacks. I am taking medication for 2 years but was diagnosed with OCD almost a year ago. I don't know what to do. I feel so alone in my symptoms. I read about symptoms of people being afraid to harm someone like a significant other but never heard of being the other way around,My OCD
obsessive-compulsive-disorder-ocd,ADAATeamRachel,"Do you have OCD? If you do, is it affecting your relationships with your family and friends? ADAA member Amy Mariaskin, PhD, wrote this blog all about creating thriving friendships for people with OCD. 

""Friends are the people we keep in our lives by choice and not because of familial bonds, work contracts",ADAA Blog: Thriving in Friendships When You Have OCD
obsessive-compulsive-disorder-ocd,ADAATeamLise,"""In true form, for OCD lovers like myself, I posed more questions than answers in the title.  That was intentional, to be funny, eye-catching, and thought-provoking.  Hopefully, I pulled off at least two of those.  These questions are often asked by clinicians, and sufferers alike.  How do I know if",ADAA Blog Post - Is it OCD or Social Anxiety? Or is it Both?
obsessive-compulsive-disorder-ocd,Celestialbird,"I’m having so many thoughts. My anxiety is pretty high tonight, and the health anxiety/OCD won’t shut up. Everything I read that has to do with health, is triggering. My stomach is in knots. 

Im easily angered and can get upset at the snap of a finger. 

I just want to be free of this, of the thoughts",Not doing well tonight
obsessive-compulsive-disorder-ocd,sumeetthakur1981,"Hi,so this is sort of an obsessive thoughts I am guessing

Out of nowhere,I started feeling guilty about an event that happened years ago

We had a death in our residence building

As the body was about to be taken to the funeral,I was standing there but I feared I could not watch it and I skipped",Obsessive thoughts 
obsessive-compulsive-disorder-ocd,Hidden,"Trigger warning…


Having a breakdown of crisis. I can’t stop crying. I have no one to talk to and my OCD is telling me I’m dying. The urge to self harm is strong. 

My OCD is contamination and health related. Everything is gross, everything is contaminated. I hate washing my hands over and over. I hate",Depression/OCD crisis
obsessive-compulsive-disorder-ocd,ADAATeamRachel,"Christine has struggled with       ( ) since she was 5 years old.  She is still grappling with the disorder but the obsessions are different now that she's older; instead of having irrational fears of being a ""bad"" child, she now has problems with perfectionism.",ADAA Story of Triumph: You Can Teach an Old(er) Dog – With OCD – New Tricks! (Or Why I Attended an OCD Treatment Program in My Late 40s)
anxiety,Against_the_current,"""Don't you study psychology?"" 
""I started working at 18""
""You're not mentally ill, just weak""
""You're too mentally ill for me, go to the mental hospital""
My recruiter is always like ""as a psychology student"". No, the fact that im a psychology student doesn't mean i can manipulate people, am an extrovert",I cannot fit in the outside world 
anxiety,Cleo1011,"Hi, I've got TRD.  I have okay days, and then really really bad days.  I'm just a hot mess that makes it through the work day with a fake smile on my face, then comes home exhausted from ""pretending"", and sad from loneliness. 

I joined here, hoping to find a friend to chat with on a regular basis.",Treatment Resistant Depression
anxiety,reinventingmyself36,"Hi all!

I’m a 40 year old woman who is  struggling with bipolar2, borderline disorder, severe panic attacks each morning etc but the worst part is the loneliness and guilt I feel each day. 
my best friend is distant from me due to me having outbursts complaining when she does talk to me … she doesn’",loneliness 
anxiety,northwoodboy,I had another tough day yesterday  with plenty of suicidal ideation. I managed to get out and hike when I got home and was having a spirited discussion with myself trying to question the stream of irrational thoughts. I became quite emotional and stopped and started to imagine my 4 daughters at my funeral,Picturing my funeral 
anxiety,northwoodboy,"I am feeling pretty desperate, staring at my computer screen at work or lying motionless in my apt reading or watching movies to try not to obsess about my depression. My anti-depressants stopped working and I have weaned off them after 20 plus years with the goal of trying psilocybin. I am struggling",A nightmarish journey
anxiety,BlondeMomma88,hello everyone this is my first post. I’m wondering if anyone has had negative side effects from taking Wellbutrin and serotonin medications. I started the serotonin in April and then the Wellbutrin mid May. In June my husband walked in the door and told him I wanted a divorce out of the blue.  We went,side affects of anxiety and depression meds 
anxiety,Hidden,"I tried breaking this cycle in 2017 and now I'm back where I started, man mental health and depression is a lonely cycle and now I'm dealing with people stalking my house. Fighting so hard to keep myself in a positive space, but the environment as well as this day and age we're living in is very tough",2017 all over again
anxiety,DP199777,hello new member here. I’ve recently been prescribed Fluoxetine 20mg and was just wondering if it’s fine to take with 500mg L-Tyrosine thanks?  After doing a bit of research it seems Fluoxetine increases serotonin levels in the brain but does absolutely nothing for Dopamine levels which is why I would,Using L-Tyrosine with Fluoxetine (Prozac)?
anxiety,252210519,"I am 62 years old and have suffered with severe   and severe depression for most of my life.  I was hospitalized for a time with suicidal ideation.  I am on medications, see a psychologist, but nothing seems to help.",Forever pain
anxiety,iOwlface,"Hi everyone, 

Just wondering if anyone could tell me about their experience of Duloxetine? 

One of my GP's mentioned it to me during treatment for my IBS. I've since done research and seen that Duloxetine is better for my kind of IBS. 

I'm not mega enthused about starting a new anti-depressant, but",Duloxetine? 
anxiety,Ryanlion,Hi everyoneDoes anyone know how much Clomipramine would equal 150mgs of Venlafaxine?  Which of these drugs perform best if anyone has tried them for a while.,Clomipramine verses Venlafaxine
anxiety,Debbs73,I suffer with   issues and have done for a while now. Over the last few year its gotten worse. To the extent of my tummy starts feeling funny where its making me go for poo's (didn't know how else to word it in a better way). It's not diarrhoea more firmer than that.,Anxiety
anxiety,Ferndav,"I have been out of hospital 9 months now and I’m improving in a lot of good ways but only thing that’s holding me back is my  , It is worst than ever right now, a weird feeling of constantly feeling like I’m being talked about etc and feeling like my close friends and family hate which is causing",anxiety 
anxiety,Trainchaser,I have been better at takling my   issues but I have been physically sick the last 5 days and have had   creep back into my life.  Struggling with   most of my life.  Just hate it. What is even worse is having   and depression at the same time,Anxiety 
anxiety,Donnagb8,I been having   and depression. I’m feeling a bit better with the help of my counselor and psychiatrist.  Some days I  jave good days and some a little off . But I’m managing it. With the help that I have . I’m new with this forum .,anxiety
anxiety,HEALED2,,Anxiety 
anxiety,MananaBanana,my biggest issues in life is prolly  . It’s like I’m addicted to my thoughts and I’m constantly stuck in my head. I also feel safe into mind so it’s hard to leave. I have a tendency to overthink things and it’s negatively impacting my life. Help?,anxiety
anxiety,Nickola,"Hi I'm currently on citraphram I uped my dose nearly 4 weeks ago but my   has got so much worse ,the doc has now said to drop to 20mg and take martizapine at night has any one been on them together I'm so scared to come dwn on my meds I have bad health   thank you nickola",Anxiety
anxiety,Akash_Rao,"I'm also anxious about where she goes to work etc

What are some of the ways to be free of   and keep my cool while we build our family life and rule over the nation?",Anxiety 
anxiety,Eminem2001,"I have been having bad thoughts about something is going to happen to some one or more then one when I really need them right now so I am very worried and have ocd thoughts to try to “ make the thoughts not happen” ANY thing to help, things to do think about, count idk! Help!",anxiety
obsessive-compulsive-disorder-ocd,ADAATeamRachel,"Sixteen-year-old Anahid discusses her struggle with  -    ( ). She tells her journey of going through 10 different therapists, multiple medications, and new fears until finally, she found the help that she needed. 
""OCD is not rational.",ADAA Story of Triumph: OCD Took My Life Away at the Age of 8
obsessive-compulsive-disorder-ocd,Blu_A22,Its been awhile since I've posted. I need to be consistent with journaling I tend to think once I feel better I am out of the rut. I am getting hit left and right with its the steps I am taking to make it better. It wont all go away in one day. I am back taking Venflaxine ER but my psychiatrist up the,working through it
obsessive-compulsive-disorder-ocd,Hope61,"I switched from Sertraline to Wellbutrin. I didn't think it was affecting me negatively but didn't want to take any chance in my search to lessen my RLS symptoms. But I think Sertraline helped depression but also OCD tendencies. 
What is the best OCD med for a person with RLS too ?",Ocd 
obsessive-compulsive-disorder-ocd,Ladytrue,Well I went off my meds in late July. I have done well and now things are acting up again.  Going to start Trintellex tonight. I was on mirtazapine but was starting to gain weight.  Part of my anxiety is starting up new medication as well.  Ugh how I do not like this at all!,Here we go again!
obsessive-compulsive-disorder-ocd,Sharkweek178,Depression isn't like people think.  It's not sadness.  It's a weight.  I don't feel like doing anything except eating and playing video games.  I know exercise would help.  But I can't get myself to do it.  I know talking to loved ones would help.  But I can't figure out how to make a call.  I manage,I'm stuck
obsessive-compulsive-disorder-ocd,Bucketlady,Finally withdrawal done. No more depression meds. Lost 10 lbs and  head clearer.  Still dealing with cheating spouse. Closing on new home in another state..with him. Only thing good about it is will be so much closer to my family. Still suffer from panic attacks but thankfully few and far between.  I,Light at end of tunnel?
obsessive-compulsive-disorder-ocd,GreenOpera,"Hi, I was scheduled for my last Buserelin injection on Thursday ahead of FET next week (Thursday). I thought I had just enough left in the vial but there were only a few drops when I drew it up so I didn't get a full injection (or anything close) Initially I wasn't worried, my lining looked good at D9",Ran out of Buserelin - FET
obsessive-compulsive-disorder-ocd,Isabella5991,"Has anyone that’s been diagnosed with cyclothmia also had an episode of psychosis with extreme mania? (Mine was delayed post partum psychosis at 10 months) 

I’m really confused. My mental health team said I’m too complex to give a final diagnosis yet, as I’ve had lots and lots of different mental health",wrong possible diagnosis? 
obsessive-compulsive-disorder-ocd,Grandmakris,"I have bipolar 1, anxiety and OCD. I have been in remission for about 15 years, but recently I have been experiencing feelings of depression and low self esteem. I have an excellent doctor and will be contacting him tomorrow. I would like to know what coping strategies others use when they feel that",Depression
obsessive-compulsive-disorder-ocd,lizziebennet,Did anyone take Sertraline or another SSRI with Olanzapine. I have bad anxiety and am scared of Olanzapine because of a higher cardiac event risk. And then if you add Sertraline it can also cause adverse affects.  So anxious about Olanzapine and then both.,Sertraline or SSRI with Olanzapine 
obsessive-compulsive-disorder-ocd,Sarah106,"Hello,
My brother was diagnosed with Parkinson's three years ago.  Another Consultant thinks he might have MSA or Parkinson Plus. Has anyone had MIBG Test for the MSA in West Midlands? Any recommendations for good consultants in West Midlands or nearby? Thanks",Parkinson's/ MSA Consultants in West Midlands 
obsessive-compulsive-disorder-ocd,Autolupus,"So I have my rheumatology appointment next week so hopefully will get a better understanding of what's going on. In the meantime I am on mycophenalate and a  weaning dose of prednisolone for eye inflammation, started with 800mg in December and am now on 2.5mg before stopping in 2 months time. However",What's your experience of coming of steroids
obsessive-compulsive-disorder-ocd,ekhctohct,I've struggled with anxiety and depression my entire life but I spent most of my 20s using drugs and alcohol as a coping mechanism. I still have some substance abuse issues but the more I deal with those the more overwhelming the depression and anxiety is. I can't seem to keep my home clean or up on,The lonely cycle
obsessive-compulsive-disorder-ocd,Mymindandme000,"Hi  everyone!  I know  a lot of you know That I talked about me having been diagnosed with bipolar! I never really did  a “Whole lot of research “  until recently and today. I just believed the psychologist and started taking meds for it.  I read that people that have the  disorder get angry a lot, and",Can someone please answer this question?
obsessive-compulsive-disorder-ocd,KingkittyS,"I come now feeling depressed and defeated. I feel mostly sad than mad. I am angry about life. I had enough of people breaking my heart, by leaving me to start their new life as an adult. I am hurting deeply. Just as a background about me, I have high functioning autism, bipolar 2, and have suicidal thoughts",hello darkness 
obsessive-compulsive-disorder-ocd,Mymindandme000,"hi everyone!  I’m still new to this forum and I would like to hear from anyone who can answer my question.    As some of you have read my posts I do mention about being depressed and  anxious high feelings. and. struggling and this is the correct forum for this!

However, I have also discussed about",Need A little help!
obsessive-compulsive-disorder-ocd,ElephantsHear,"I got another email thanking me for applying, but they’re going with another candidate.  I’ve worked 9 months in the last 3 years. This time around I haven’t worked in 1 year, but I’ve applied to a lot of jobs (health insurance field/ good hours/ less stress) with no success bec. of my employment history",sad and unemployed 
obsessive-compulsive-disorder-ocd,Totoro25,"Hello peeps. I have recently between 1&2 months ago increased my levothyroxine from 75mg to 100mg.Thing is I've started having days where I'm extremely high and very excitable (euphoric) followed by very low days (feel sad & tearful) and exhaustion. 
The low mood days take me by surprise almost and it's",Aha - Highs & Lows
obsessive-compulsive-disorder-ocd,Mrsjaytee,"I am having a nightmare getting my gp to prescribe Femara (she isnt a fertility expert and we have now cut ties with our clinic).

We considered a mild ivf cycle, but we have to postpone this idea for financial reasons.

I am going to try soy isolflavens. I am on cycle day 2. Will i start tomorrow, and",Soy Isoflavens and Black Cohosh
obsessive-compulsive-disorder-ocd,Jennblank7734,"Hello. Finally I feel like there might be some hope for my living situation.  I heard back from a lawfirm I contacted to find out if everything my landlord is doing to me is legal or not. In May and June, besides all of the users and dealers she had here, there was a man that stayed for 6 weeks. I'm",I wanted to share an update.
