Concern,body,title
"Hello.  I am a 51 y/o man, suffering from Bipolar 2, Diabetes, Arthritis, Hypertension and other health issues.  I have been on various SSRI's and SNRI's since 2002.  I was diagnosed with Bipolar Disorder 2 in 2015.  I have been on Lamotrigine since then and it helped/helps me immensely.  I am finding that antidepressants only work for a while and maybe even cause an increase in anxiety/nervousness, aggression and impulse control issues.  I am wondering if getting off of an antidepressant and adding Seroquel to the Lamotrigine may be a better fit.  What has been your experience?  Thanks for your input.  ",drugs.com says their are no interaction issues.,Medication experiences
"Hello.  I am a 51 y/o man, suffering from Bipolar 2, Diabetes, Arthritis, Hypertension and other health issues.  I have been on various SSRI's and SNRI's since 2002.  I was diagnosed with Bipolar Disorder 2 in 2015.  I have been on Lamotrigine since then and it helped/helps me immensely.  I am finding that antidepressants only work for a while and maybe even cause an increase in anxiety/nervousness, aggression and impulse control issues.  I am wondering if getting off of an antidepressant and adding Seroquel to the Lamotrigine may be a better fit.  What has been your experience?  Thanks for your input.  ",I've been on Cymbalta against my will for 9 years....I've noticed memory  loss impulse control and think it's given me a permanent depression...I would ask my new Dr lower  it. I tare 60mg.?. But I'm afraid of two things an overwhelming flood of emotions I'm no longer used to ND more I'mportantly in my current state and circumstances I'm afraid of accidently hurting myself..?Lamictal is a wonderful drug though...I've need on it for 18 years...a nurse once told me ive never heard you complain about lamictal,Medication experiences
"Trigger warning…,Having a breakdown of crisis. I can’t stop crying. I have no one to talk to and my OCD is telling me I’m dying. The urge to self harm is strong. ,My OCD is contamination and health related. Everything is gross, everything is contaminated. I hate washing my hands over and over. I hate the thoughts. Why can’t I be fucking normal?? I feel so worthless and a waste because of this. ,I can’t see anyone until Monday. I just want to sleep. ","I feel that. I was for real having a breakdown and crying about 15 minutes. I feel you. If you want to talk, you can DM me",Depression/OCD crisis
"Trigger warning…,Having a breakdown of crisis. I can’t stop crying. I have no one to talk to and my OCD is telling me I’m dying. The urge to self harm is strong. ,My OCD is contamination and health related. Everything is gross, everything is contaminated. I hate washing my hands over and over. I hate the thoughts. Why can’t I be fucking normal?? I feel so worthless and a waste because of this. ,I can’t see anyone until Monday. I just want to sleep. ","I also have OCD so I get it, I really do",Depression/OCD crisis
"Trigger warning…,Having a breakdown of crisis. I can’t stop crying. I have no one to talk to and my OCD is telling me I’m dying. The urge to self harm is strong. ,My OCD is contamination and health related. Everything is gross, everything is contaminated. I hate washing my hands over and over. I hate the thoughts. Why can’t I be fucking normal?? I feel so worthless and a waste because of this. ,I can’t see anyone until Monday. I just want to sleep. ",😥😥❤💔,Depression/OCD crisis
"Trigger warning…,Having a breakdown of crisis. I can’t stop crying. I have no one to talk to and my OCD is telling me I’m dying. The urge to self harm is strong. ,My OCD is contamination and health related. Everything is gross, everything is contaminated. I hate washing my hands over and over. I hate the thoughts. Why can’t I be fucking normal?? I feel so worthless and a waste because of this. ,I can’t see anyone until Monday. I just want to sleep. ","Go to the ED if you feel like you can’t make it without self-harming. Just let them know exactly how/what you’re feeling… you can always message me, if you just wanna talk. I’ve been there, not the same diagnosis, but the self-harm & suicidal ideations at times. Just don’t try to tough it out or do it alone.🤍",Depression/OCD crisis
"Trigger warning…,Having a breakdown of crisis. I can’t stop crying. I have no one to talk to and my OCD is telling me I’m dying. The urge to self harm is strong. ,My OCD is contamination and health related. Everything is gross, everything is contaminated. I hate washing my hands over and over. I hate the thoughts. Why can’t I be fucking normal?? I feel so worthless and a waste because of this. ,I can’t see anyone until Monday. I just want to sleep. ","Take several deep, DEEP breathes and try to chill. Call someone. Move to a different👍 room or building. Go for a walk.",Depression/OCD crisis
"Trigger warning…,Having a breakdown of crisis. I can’t stop crying. I have no one to talk to and my OCD is telling me I’m dying. The urge to self harm is strong. ,My OCD is contamination and health related. Everything is gross, everything is contaminated. I hate washing my hands over and over. I hate the thoughts. Why can’t I be fucking normal?? I feel so worthless and a waste because of this. ,I can’t see anyone until Monday. I just want to sleep. ",I have contamination OCD too…and it sucks! Just try to take it one day at a time!,Depression/OCD crisis
"Today I finally went to a psychiatrist and got formally diagnosed with dysthymia. Not sure how to feel about it. On one hand, it sucks having this but in the other, now I know it is something else and not just me being dramatic and exagerating my feelings. ,Anyways, they gaved me Fluoxetine for 1 month. Do any of you have any particular experience with taking this specific drug or any other SSRI? I know I have to take them, earlier this year we studied about antidepressants and know somewhat well how they work and what to expect, but I am still nervous/afraid about finally starting treatment.,Any info or experience would help , thanks in advance 🙏","They will make you feel worse before they start working but I have had them for a long time this is my 3rd time on them and each time I have found them helpful ,when you start taking them you feel awful (or that was my experience) but keep taking them and I assure you you will feel the benefit from them and you will start to feel like the real you again soon , If you have any questions or I can help just put a message on here x",Finally diagnosed + Fluoxetine help
"Today I finally went to a psychiatrist and got formally diagnosed with dysthymia. Not sure how to feel about it. On one hand, it sucks having this but in the other, now I know it is something else and not just me being dramatic and exagerating my feelings. ,Anyways, they gaved me Fluoxetine for 1 month. Do any of you have any particular experience with taking this specific drug or any other SSRI? I know I have to take them, earlier this year we studied about antidepressants and know somewhat well how they work and what to expect, but I am still nervous/afraid about finally starting treatment.,Any info or experience would help , thanks in advance 🙏","Hi LynnSalv, I am excited for you to try something new. I went on fluoxetine for a few years and really liked it. I did find that the SSRIs make me feel tired, and quite mellow, but that is so much better than unbearably anxious.  My Drs scaled up my dose pretty slowly so I think that side effects for me were minimized for me when beginning.  When I started my current drug I did feel a great spike in anxiety, but knowing it was just my body adjusting to the new drugs helped me stay calm.  Also, I really hope you are able to do therapy in conjunction with medication. I truly believe that if we can change the way we think we  can change the way we feel. May you have peace, hope, and strength.",Finally diagnosed + Fluoxetine help
