header,user,body,title
bipolar-disorder,Mymindandme000,"That are depressed  

 If somebody can just direct me in the right direction, if there is forum on here for help with     and substance abuse  or is it Ok to post right here?   -Shay",Need A little help!
bipolar-disorder,Kiki0210,"I have    , and I'm so tired of small disappointments manifesting into devastations. I wish I could just remain within a typical person's spectrum of emotions.  Instead, I feel worthless and like life is meaningless.  I have no desire to wake up tomorrow or to even move out of my bed.",Depressed and no desire to live
bipolar-disorder,emmi331,"Until then, and perhaps they will see what I do, right now she may be dealing with untreated    .

A friend who is   told me the best thing to do is love her - from a distance, but keep being there for when she crashes.",I Need Help with Bipolar Friend
bipolar-disorder,AinslW,A part of it too is I’ve been in denial about the possibility of having     and that having been a risk factor for having developed PPP but when she reviewed my personal history and family history with me it again became apparent that I probably have BD1 with a history of BD2.,Research Interview at MGHP3
bipolar-disorder,daughter-Advocate,It's supposed to be only prescribed to calm schizophrenia and    !!)[/i],Is late night snacking a symptom of PD or something else? Is it a concern? + Need stability for insomnia
bipolar-disorder,Polarbear44,currently having a     episode,lamotragine has made me unwell 
bipolar-disorder,Zan999,"Hi Everyone!  I've been a forum member for awhile but haven't introduced myself because I didn't feel like I had the energy to write or do much of anything.  Today I decided to take the plunge.... 

After suffering terribly with bipolar II & anxiety for 40 years, I feel like I'm ready to ""go home.""","Does anyone else with depression, bipolar disorder or anxiety feel this way?"
bipolar-disorder,reinventingmyself36,My psychiatric nurse practitioner keeps recommending I take seroquel for sleep and to stabilize my mood since I have    . I argue with him over the fact it stil doesn’t help me sleep long enough for at least 6-7 hours and causes me to feel sleepy during day.,Anxiety attacks
bipolar-disorder,Shorty0207,"I've been dealing with my PTSD, OCD, anxiety, and     for two years now. Lately I have been super frustrated and feel completely alone.",New to the group. 
bipolar-disorder,Hidden,"I was recently diagnosed with    . 

I am looking for free, high quality support groups for    . 

I prefer online, but for in person, I am in Miami-Dade County.


I have tried DBSA's local chapter and it was not a good fit for me.",Bipolar Support
bipolar-disorder,Hidden,"I was recently diagnosed with    . 

I am looking for free, high quality support groups for    . 

I prefer online, but for in person I am in Miami-Dade County.


I have tried DBSA's local chapter and it was not a good fit for me.",Bipolar Support
bipolar-disorder,Seaux,arre opiates contradicted for RLS patients who also have    ?,opiate use for RLS with bipolar disorder
bipolar-disorder,Naynay777,,Hello
bipolar-disorder,reinventingmyself36,"I am in desperate need to decrease anxiety and get 7-8 hours of sleep at night which I’m not since I have high anxiety paired with borderline   and   2.

I can’t find another psychiatrist in the mean time so I’m stuck for now with this nurse practitioner. What to do?",desperate for safe mood stabilizers
bipolar-disorder,southernbelle87,I’m new here so please be kind. I was diagnosed with Bipolar 1 about two months ago and I’m starting to think Lamotrigine is not enough. Has anyone ever tried electro-convulsive therapy?  During a stint in a psych ward I saw this treatment help others but I’m honestly afraid of it.,ECT for Bipolar Disorder 
bipolar-disorder,KingKittycat,I am currently experiencing the urge to shop compulsively due to my bipolar. I am also having trouble sleeping at night. I am at a point in life where a have a hole in my heart. I long for a friend who is nearby and I kind to me. I am experiencing a mix of emotions. Any advice?,Bipolar Disorder 
bipolar-disorder,hygienehollie,"I’m curious if anyone’s child has been diagnosed with pediatric    ?

My son has been diagnosed with ADHD, anxiety and Disruptive mood dysregulation disorder. The more time goes on I question whether or not he has been misdiagnosed.",pediatric bipolar
bipolar-disorder,KingKittycat,I am yearning someone who can help me with my    . I am also have a few suicidal thoughts. I feel so frustrated with myself. Please help.,Emptiness 
bipolar-disorder,Silverunicornspirit,"I've suffered with Borderline personality   (BPD) |     | obstructive pulmonary disease (COPD | Osteoarthritis, in my hands, hip and feet. Dyslexic | Hearing aids | Glaucoma.

The company I work for has suspended me for gross misconduct.",No one to talk to openly
bipolar-disorder,Hidden,"I was diagnosed with     2 in 2015.  I have been on Lamotrigine since then and it helped/helps me immensely.  I am finding that antidepressants only work for a while and maybe even cause an increase in anxiety/nervousness, aggression and impulse control issues.",Medication experiences
obsessive-compulsive-disorder-ocd,ADAATeamLise,"Researchers at Baylor College of Medicine, in collaboration with the University of North Carolina, are conducting an international study of  -    ( ) in Latin Americans, Hispanics and Brazilians.",Announcing a study from an ADAA professional partner
obsessive-compulsive-disorder-ocd,ADAATeamRachel,"Are you suffering from harm OCD?

Harm inducing types of thoughts, images and urges are typically referred to as Harm OCD and they can cause significant distress and anxiety in sufferers. Read ADAA member Marion Plessner Rodrigue, LMHC's blog explaining the difference between #harmocd and being dangerous",ADAA Blog: Harm OCD vs. Being Dangerous
obsessive-compulsive-disorder-ocd,Missjab,hi everyone I have been recently diagnosed with OCD. I had a feeling about it before I was diagnosed cause it felt different than my general anxiety but way more intense. Medication wasn't helping. I have intrusive thoughts and fears that keep looping over and over literally feels like i am going insane,Recently diagnosed with OCD
obsessive-compulsive-disorder-ocd,ADAATeamRachel,"""In 2006, I was diagnosed with an immune disorder and had a bout of meningitis. After I got sick and started to recover I started getting panic attacks and anxiety. It got so bad I ended up in the mental health section of the VA hospital,"" Dave explains. ""As far as therapy is concerned I have gone through",ADAA Story of Triumph: My Obsessive Life
obsessive-compulsive-disorder-ocd,STEM_Dad,"( ), Conduct Disorder, Oppositional Defiant Disorder (ODD), Disruptive Mood Dysregulation Disorder (DMDD), Rejection Sensitive Dysphoria (RSD), or even Bipolar Disorder.

~~~~~

In my opinion:

Earlier diagnosis of ADHD &/or ASD might better explain or help to improve the other conditions",Thought of the day: Neurodiversity certainly isn't simple 
obsessive-compulsive-disorder-ocd,Missjab,"hi everyone, it’s been hard today struggling with ocd thoughts and it always gets worse around my period. Like I know these are just thoughts and not actions but it creates so much anxiety that I am literally bothered. Also I never had this problem before in my live, I had a sudden onset of ocd a few",The struggle of ocd 
obsessive-compulsive-disorder-ocd,BjAli,"Hi, I’m BJ and I suffer fro extreme anxiety and depression. I’m on 40mg fluoxetine and I’ve also been prescribed prolanalol and premethazine for sleep, because I find it difficult at night.  I’m on week 6 now of the fluoxetine but my symptoms don’t seem to have improved. I have obsessive intrusive thoughts",Anxiety and depression 
obsessive-compulsive-disorder-ocd,Bisana,"Hello I have had general anxeity disorder, social anxiety disorder and obsessive disorder I have been passed through many medication since 2012 and finally l am taking 0.5/1mg of clonazepam; 2 mg of respridone and 40mg of fluoxitine  but my psychiatry strongly refuse  clonazepam  but I could  not stop",Stop clonazepam
obsessive-compulsive-disorder-ocd,Darkhouse,"I'm seriously ruminating about ruminating, that's how bad it's gotten. I have an MRI tomorrow, and I'm obsessing about it, but that's just an example of the obsessive thoughts that constantly run through my mind. I want to stop. I've tried years of psychotherapy...it helps, a little, but here I am, still",How to stop ruminating thoughts 
obsessive-compulsive-disorder-ocd,Bobfacebetty,"can anyone recommend a good podcast or YouTube video with help for intrusive thoughts ,

I’m suffering with what I think is called pure OCD 

Where I get intrusive thoughts that cause panic attacks but I don’t have compulsions to do something to alleviate them 

Any help would be greatly appreciated",Intrusive thoughts help 
obsessive-compulsive-disorder-ocd,Trish23,I have periods of anxiety that take over my brain for months at a time. All day I monitor every thought to gauge my anxiety levels.  It’s exhausting. What do others do to break that cycle?,obsessive thoughts 
obsessive-compulsive-disorder-ocd,sumeetthakur1981,"I have been dealing with anxiety for quite some time by nowBut recently I have started getting compulsive thoughts about irrelevant things,I watched a short video which now I can't remember what was about and I can't search for it and that is making me annoyed and disturbed,even if I do find it I fear",Obsessive thoughts about little things
obsessive-compulsive-disorder-ocd,sh0526,"I apologize if this may not be the right place to mention OCD, but I didn’t see a group for OCD. I struggle really hard with OCD, and for those that can relate, it’s not fun. You feel like you are constantly battling something invisible that if you don’t do things a certain way, is going to appear",Anyone else dealing with OCD?
obsessive-compulsive-disorder-ocd,catarinass99,Hi. I have OCD and panic attacks. I am taking medication for 2 years but was diagnosed with OCD almost a year ago. I don't know what to do. I feel so alone in my symptoms. I read about symptoms of people being afraid to harm someone like a significant other but never heard of being the other way around,My OCD
obsessive-compulsive-disorder-ocd,ADAATeamRachel,"Do you have OCD? If you do, is it affecting your relationships with your family and friends? ADAA member Amy Mariaskin, PhD, wrote this blog all about creating thriving friendships for people with OCD. 

""Friends are the people we keep in our lives by choice and not because of familial bonds, work contracts",ADAA Blog: Thriving in Friendships When You Have OCD
obsessive-compulsive-disorder-ocd,ADAATeamLise,"""In true form, for OCD lovers like myself, I posed more questions than answers in the title.  That was intentional, to be funny, eye-catching, and thought-provoking.  Hopefully, I pulled off at least two of those.  These questions are often asked by clinicians, and sufferers alike.  How do I know if",ADAA Blog Post - Is it OCD or Social Anxiety? Or is it Both?
obsessive-compulsive-disorder-ocd,Celestialbird,"I’m having so many thoughts. My anxiety is pretty high tonight, and the health anxiety/OCD won’t shut up. Everything I read that has to do with health, is triggering. My stomach is in knots. 

Im easily angered and can get upset at the snap of a finger. 

I just want to be free of this, of the thoughts",Not doing well tonight
obsessive-compulsive-disorder-ocd,sumeetthakur1981,"Hi,so this is sort of an obsessive thoughts I am guessing

Out of nowhere,I started feeling guilty about an event that happened years ago

We had a death in our residence building

As the body was about to be taken to the funeral,I was standing there but I feared I could not watch it and I skipped",Obsessive thoughts 
obsessive-compulsive-disorder-ocd,Hidden,"Trigger warning…


Having a breakdown of crisis. I can’t stop crying. I have no one to talk to and my OCD is telling me I’m dying. The urge to self harm is strong. 

My OCD is contamination and health related. Everything is gross, everything is contaminated. I hate washing my hands over and over. I hate",Depression/OCD crisis
obsessive-compulsive-disorder-ocd,ADAATeamRachel,"Christine has struggled with       ( ) since she was 5 years old.  She is still grappling with the disorder but the obsessions are different now that she's older; instead of having irrational fears of being a ""bad"" child, she now has problems with perfectionism.",ADAA Story of Triumph: You Can Teach an Old(er) Dog – With OCD – New Tricks! (Or Why I Attended an OCD Treatment Program in My Late 40s)
anxiety,Konspiracy,Is this just an   problem?,Anxiety & urine problems
anxiety,hollyrain,"I do have   but have felt fairly relaxed today. 

Thank you",Nose question
anxiety,dogsneverworry,I have had generalized   since I was a kid (I'm now 29) and have been taking Escitalopram for a few years and stopped four months ago. The meds worked well but I have always hoped that I wouldn't have to take them for the rest of my life.,getting back on medication
anxiety,Sandpiper14,#  #depression #bingedrinking,A new day 
anxiety,JerryMc,"Suffering with   and depression,  is there anyone to chat who is going through this condition.",Feeling Lonely 
anxiety,Blessingsandlove,"For the last couple of months, I have been dealing with major depression,   and loneliness. I have really been struggling to make it through each day. A few days ago I came close to taking my life because I didn't want to continue to experience those feelings.","Feeling alone, In need of a friend"
anxiety,dinga0,Has anyone been feeling off because of   sweat ? until you do not want to go meet people because you are scared of omitting body odor? and probably have omitted that body odor because   sweat stinks!! i need help from the intrusive thoughts.,Anxiety sweat obsessiveness 
anxiety,Chatwin88,"Hi all, 

I'm new here and struggling a lot with loneliness and social  . I manage a school in a really rural, low income area in the USA, so I spend a lot of my day coaching teachers and kids. I feel good about the work I do but empty in my personal life.",Advice on Managing Loneliness and Social Anxiety when living in the middle of nowhere
anxiety,Shield_Of_Faith,"I see everybody around me with someone and I'm happy for them but I do also get a little jealous, I have no self esteem, no confidence, I feel invisible to everyone, I don't matter and I think who would want a guy like me who is ok looking I guess idk and has severe social  ....",Hey There Again loneliness.....
anxiety,Renizzle2023,"I’m challenging both my social   and certain other fears and do go to social events with more frequency now, but pacing myself not to get overwhelmed and burn out is a challenge in itself. 


Anyway, that is what has been going on with me.",Difficult Depressive Episode 
anxiety,Lokicharmedme,I have depression and   and wonder if I need another prescription. Thanks,Wellbutrin 
anxiety,Trish23,I have periods of   that take over my brain for months at a time. All day I monitor every thought to gauge my   levels.  It’s exhausting. What do others do to break that cycle?,obsessive thoughts 
anxiety,Overthinker95,I just needed some reassurance on taking fluoxetine for depression and   for the first time.,Taking anti depressants 
anxiety,Lonepain,"Every morning same sky high anciety and debilitating depression.  Along with self loathing , guilt, rumination and obsession over past events.Family has had it with me.  Friends mostly gone.  Im 64 and life sucks.  This is how my days start .",Morning Pain
anxiety,RoanyMule,"Hello. I was on antidepressants and stimulants for nearly 30 years. I chose to discontinue Cymbalta last August based on the lack of evidence of its effectiveness for long term use or how it affects the aging brain. Looking back, I still experienced many bouts of severe depression even while taking it",Life after meds?
anxiety,Greyhoundlove,"I’m in depression recovery but trip and fall at times and it’s usually a hard fall. 


I just really feel useless and a bother. Nothing I say or do is right. I have no one to talk to besides my therapist because I have no friends and my small family are the people who say shit to remind me that I fucked",suicidal ideation 
anxiety,Browny71,"I live in the US, i have been looking for a support group for people with major depression. it seems like the general population can't relate to my feelings, and the need to take antidepressants. I am currently back on Venlafaxine which i stopped about 4 months ago. it's been 8 weeks that i am back on",new to this support group
anxiety,StephanIrle,My wife suffers from severe depression caused by the severe pain brought on by tardive dyskinesia and dystonia that appeared as the consequence of doctor-prescribed benzodiazepine use.  She has further lost much of her life quality by not being able to participate in family activities or connecting with,Looking for support for my wife
anxiety,Brity,"hello, my autocorrect attempted to write ""help"" and that probably is what I need. For the majority of my life I have felt that I'm unable to get up out of bed, it was just a sudden occurrence that I no longer felt awakened by the new day and just slumped in exhaustion. Preferring the comfort of my bed",I don't like that I got here
anxiety,LynnSalv,"Today I finally went to a psychiatrist and got formally diagnosed with dysthymia. Not sure how to feel about it. On one hand, it sucks having this but in the other, now I know it is something else and not just me being dramatic and exagerating my feelings. 

Anyways, they gaved me Fluoxetine for 1 month",Finally diagnosed + Fluoxetine help
clinical-depression,Figar,"The thing is though that this morning I had a chat with my GP as I haven't been feeling well lately, and she said I present with all the   symptoms of  , and that because I have tried so many things (from mindfulness to exercise) and things are not getting better, she would suggest trying",Sertraline and Pregabalin
clinical-depression,Downinil,"Hi, I’ve been living with    , OCD, and anxiety since about age 9. Recently I’ve been diagnosed with agoraphobia and PTSD as well. I’m managing Chronic pain and chronic kidney disease as well.",Help!
clinical-depression,PuppyN,"Hi everyone. Oh there's a lot that I'd like to share as such I might be all over the place but I'll start small. 

I'm not professionally diagnosed with anxiety or depression but I am definitely experiencing one or both but mostly I believe it's anxiety. 

I am an honors student and oh boy I feel like",Too much!! 
clinical-depression,GhostKitty,"So the facts of my life at this moment:Last night I literally broke into a lock box to get to my medications so I would have the choice to live or die while in a state of extreme mental distress. (Its a cheap lock box but it was way easier to bust into than I thought.) 
I hate myself. And that is not","Here are the facts, what do I do?"
clinical-depression,SelfSoothe,"Hi everyone,

Just wanted to introduce myself and hope that I’m ok to be here to chat and listen to all things ostomy!! I hope that this finds you all well(ish) and happy 😀🙏  I’ve had my Ileostomy now for 16 yrs give or take 2 yrs when I had a reversal with a J-pouch formed. Unfortunately, after 18",Ileostomy problems
clinical-depression,violetbunny,"I have really bad anxiety and I just need support. i need to know I'm not alone. I go through these manic episodes and when I come down I feel so low. depression hits hard, but my meds don't allow me to cry so i have so much built up in my chest.",New here
clinical-depression,nmgarcia,I need help with my current mental state. I recently ended a long-term relationship and feel betrayed by this person. I've spent the last 11 years with them and we were engaged to be married. Right now I have been waking up in a complete panic and feeling extreme anxiety and depression nonstop. I can't,Severe Anxiety & Relationship Grief
clinical-depression,Cherry2berry,Hi I'm 59 and currently into the 8th week of Sertraline at 50mg for anxiety and still having quite severe side effects such as high anxiety and a very senstive stomach which is making it hard to eat. I know it's side effects from the medication as the symptoms always start around 2 hours after taking,"Help please, struggling with sertraline side effects for 8 weeks"
clinical-depression,formydogs,I have been taking Xanax .25 MG for several years and it has been working well for me so far. Recently my mom was diagnosed with cancer which has greatly increased my anxiety. My doctor prescribed Buspirone. I've been taking both for about 2 months now and it doesn't seem to be helping my anxiety and,Has anyone had bad experiences with Busiprone?
clinical-depression,Whymelord,"Hi,I've been taking Buspirone for  a while for anxiety witch is causing unbearable Tinnitus, has anyone else suffered this and would there be another anxiety pill that does not cause this.ta.",Buspirone 
clinical-depression,sabres4love,"Is there anyone else out there who feels like they haven't found their ""dream job"" yet? I am 38 and have worked various jobs- not the one I went to school for- and still not found one that I like and is good financially. I know a lot of people struggle with this, but it is something that has really bothered",Great Job
clinical-depression,WideBody,"Good Morning,

Just a quick update.  I am now on an as needed basis for Dipyridamole.

Recently my wife and I went on a road trip for our anniversary to a Hot Springs.  It was a 2 hour drive to get there and we drove around the mountains for a few hours as well.

I am sure the last sentence triggered",Another Update (Dipyridamole)
clinical-depression,lindyloo2018,"Hi, I am suffering badly with depression and anxiety because of my RA.GP has suggested sertraline or mirtazapine.does anyone have experience of these drugs for anxiety and panic attacks?please reply with experience of the antidepressant and dosage and how long it took to work.many thanks",what is the best antidepressant for anxiety and panic attacks ?
clinical-depression,Medusa2001,Hi. I'm new here. I guess I just need some support. I've been having a tough time with my anxiety and don't really have anyone to talk to anymore. My depression is bad and I don't want to do anything really. It's really hard and effecting my quality of life. I haven't been to work all week I've been,Needing support 
clinical-depression,MarkD6701,"Hi All,



I've booked a holiday for April next year and I'm looking for a bit of advice regarding my travel insurance.



Due to having a blood clot in my portal vein because of my MPN I was diagnosed with having Esophageal varices (bloated blood vessels). However, I recently had an endoscopic examination",Do I declare Esophageal varices (no longer found) on travel insurance?
clinical-depression,litethatnevergoesout,"I don’t even know if I have the ability to type this, I can’t think straight.  I’m really falling apart, my depression has gotten so deep.   I don’t want to go anywhere or do anything.   I don’t leave my room.   My outlook on life is terrible.  I’ve completely lost interest in everything.  when I’m not",very depressed 
clinical-depression,WideBody,"This is the first time I have passed 8 hours of sleep in the almost 8 years of keeping track.  I usually score 80 or 81.    89 is an all time record for me.

So what happened.   First off, I could feel my RLS earlier in the evening.   Little things were beginning to trigger my RLS, nothing strong but",Personal Sleep PR
clinical-depression,StuckInMyHead23,"Some days I really just wish the depression and anxiety would leave me alone. Today I have such a sad, down, I want to cry feeling on top of anxiety, and I wish it would stop.I  just want to do what I have to do, and get on with the day. But I ran errands and now I feel overwhelmed.  And stuck. Like",Some days I just can't 
clinical-depression,Montana136,So for the last 6 to 8 months I've been on a mission to get out of isolation and depression. I wasn't moving I wasn't interested I didn't care I didn't even care about my hygiene. I have been putting myself outside my comfort zone socially and in so many other ways. I suffer from major depression anxiety,Two steps forward one step back..
clinical-depression,litethatnevergoesout,"I have a traumatic brain injury and from that I have this condition.  The damaged brain for some reason likes to lock onto negativity or negative stuff, negative memories.  then it takes that and runs it on repeat endlessly.  It’s awful.  Without any triggers. So I have a depressing bit and I’m fed that",perseveration ?
post-traumatic-stress-disorder-ptsd,ADAATeamLise,"ADAA is delighted to announce our newest free, anonymous peer to peer support community for those struggling with   -      ( ).

This is a safe space to learn from and share with others who are coping with PTSD.",New ADAA Post-Traumatic Stress Disorder (PTSD) Community Launches
post-traumatic-stress-disorder-ptsd,Kia17,"It will also allow MDMA, known as ecstasy in tablet form, for  -      ( ).

https://www.bbc.com/news/world-australia-66049989.amp",Australia approves ecstasy and magic mushrooms for medical use
post-traumatic-stress-disorder-ptsd,ADAATeamLise,"ADAA is delighted to announce our newest free, anonymous peer to peer support community for those struggling with   -      ( ).

This is a safe space to learn from and share with others who are coping with PTSD.",ADAA Launches a New Post-Traumatic Stress Disorder Support Community
post-traumatic-stress-disorder-ptsd,ADAATeamLise,"ADAA is delighted to welcome you to our newest Health Unlocked peer to peer support community for those struggling with   -      ( ).

This is a safe space to learn from and share with others who are coping with PTSD.",Welcome to the ADAA PTSD Community!
post-traumatic-stress-disorder-ptsd,Bearwhisp,"Hi I've just joined and would like to introduce myself.I live with psycosis (hearing voices mostly) and have suffered from complex PTSD, anxiety and depression. It's been a difficult road.

I'm in a good place at the moment thanks to some wonderful people in the NHS, my family (including my dog) and",Helloo
